time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.014624,-2.2544,4.9736,2.3254,5.935
1.023659,-2.0094,5.0522,2.3001,5.904
1.035770,-1.7917,5.0255,2.2249,5.781
1.043993,-1.5322,5.0383,2.2561,5.729
1.055493,-1.3015,4.9626,2.3461,5.641
1.063165,-1.2402,4.8652,2.5553,5.634
1.074408,-1.0307,4.8340,2.7394,5.651
1.084363,-1.0058,4.7713,2.8310,5.638
1.096612,-0.9551,4.6316,2.6192,5.406
1.104675,-1.0718,4.5050,2.5736,5.298
1.117021,-1.3847,4.1837,2.4566,5.045
1.123272,-1.7351,3.9330,2.3920,4.919
1.135212,-2.1552,3.5867,2.4250,4.836
1.143592,-2.7057,3.3232,2.3133,4.870
1.154814,-3.5643,2.9900,2.1125,5.109
1.163438,-4.1434,2.7963,1.9083,5.351
1.174397,-4.7738,2.4280,1.7281,5.628
1.184812,-4.9933,2.1742,1.6233,5.683
1.194556,-5.0545,1.9927,1.6913,5.690
1.204551,-5.0321,1.8384,1.7758,5.644
1.214406,-5.1946,1.4650,1.7723,5.681
1.224307,-5.4658,0.9589,1.7675,5.824
1.235589,-5.2592,0.5406,1.8850,5.613
1.243672,-4.7762,0.4587,2.1944,5.276
1.256861,-4.1753,0.5913,2.7258,5.021
1.263997,-3.9718,0.8227,3.0655,5.084
1.273863,-3.7848,1.2769,3.3412,5.208
1.283602,-3.5626,1.7318,3.3643,5.197
1.294675,-3.4402,2.3072,3.5966,5.486
1.304343,-3.5398,2.6000,3.4272,5.571
1.315713,-3.7913,2.7065,3.0104,5.546
1.323861,-3.9770,2.6303,2.6801,5.470
1.336778,-4.3252,2.3433,2.3394,5.447
1.344196,-4.7461,1.9276,2.0752,5.527
1.356688,-4.9833,1.5050,1.7026,5.477
1.364238,-5.0546,1.2224,1.6884,5.468
1.374407,-4.9675,0.9539,1.6771,5.329
1.384342,-4.8318,0.7953,1.7199,5.190
1.395134,-4.6204,0.7123,1.7510,4.992
1.404645,-4.4975,0.5878,1.6977,4.843
1.414627,-4.2389,0.5135,1.6242,4.568
1.423908,-3.8272,0.3656,1.6533,4.185
1.434994,-3.3155,0.2704,1.8416,3.802
1.443775,-2.8440,0.2103,2.0299,3.500
1.455433,-2.3325,0.2005,2.0664,3.123
1.463750,-1.7264,0.1879,2.0113,2.657
1.474210,-0.9641,0.1981,2.0274,2.254
1.485299,-0.3556,0.0807,2.0245,2.057
1.494449,0.1770,-0.0914,2.0447,2.054
1.508051,0.4801,-0.3563,1.9863,2.074
1.515124,0.8720,-0.6177,1.7628,2.061
1.523425,1.2163,-0.8323,1.4990,2.102
1.534258,1.5346,-1.0786,0.9703,2.112
1.544749,1.6909,-1.3368,0.5919,2.235
1.555037,1.6471,-1.6661,0.1069,2.345
1.563548,1.4347,-2.0340,-0.2931,2.506
1.575557,1.2233,-2.4426,-0.6192,2.801
1.583170,1.1999,-2.8696,-0.8176,3.216
1.594415,1.1749,-3.4533,-0.9406,3.767
1.606586,1.2964,-4.0701,-1.0480,4.398
1.614248,1.4994,-4.7359,-0.9840,5.064
1.623229,1.7443,-5.2294,-0.8674,5.580
1.634776,2.0095,-5.7551,-0.8367,6.153
1.643921,2.2233,-6.1042,-0.8701,6.554
1.655710,2.4868,-6.4881,-1.1629,7.045
1.664718,2.6646,-6.7679,-1.4253,7.412
1.674636,2.8465,-7.0618,-1.8157,7.827
1.684102,2.9903,-7.3361,-2.0040,8.172
1.694178,3.2941,-7.5287,-1.9899,8.455
1.708146,3.5268,-7.6666,-1.9334,8.658
1.714675,3.7402,-7.7074,-1.8980,8.775
1.724817,3.7784,-7.6329,-1.9358,8.734
1.736828,3.7397,-7.3494,-1.8184,8.444
1.743157,3.5239,-7.0628,-1.7426,8.083
1.756647,2.5732,-6.8442,-1.7962,7.529
1.763126,1.7381,-6.8276,-2.2329,7.391
1.774477,1.0403,-6.8367,-2.6539,7.407
1.783609,0.7949,-6.7890,-2.9166,7.432
1.794504,0.9752,-6.4309,-2.9157,7.128
1.804632,0.9530,-6.1290,-2.8052,6.807
1.815977,0.7349,-5.7976,-2.4464,6.335
1.826785,0.4711,-5.4115,-1.9566,5.774
1.834166,0.1075,-5.0079,-1.3330,5.183
1.843369,-0.3195,-4.7804,-0.9139,4.877
1.855934,-0.6982,-4.6933,-0.7960,4.811
1.863228,-0.8375,-4.6050,-0.8050,4.749
1.874880,-0.7851,-4.6301,-1.1202,4.828
1.883708,-0.8015,-4.7720,-1.3995,5.037
1.895138,-0.7493,-4.8418,-1.5838,5.149
1.903633,-0.6994,-4.7890,-1.7374,5.142
1.914125,-0.5925,-4.6294,-1.8015,5.003
