time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.011961,1.0588,1.0106,4.1464,4.397
1.021507,1.5758,1.3311,4.2220,4.699
1.030598,2.1217,1.8963,4.1735,5.051
1.041193,2.1777,2.2652,4.0198,5.102
1.052461,1.4914,2.2806,3.6155,4.527
1.060686,0.5309,1.9016,3.0149,3.604
1.071891,-0.2065,1.3112,2.2164,2.583
1.079770,-0.3779,1.0439,1.6530,1.991
1.091087,-0.0500,1.0102,1.2857,1.636
1.103380,0.1716,1.0128,0.8848,1.356
1.111055,0.1670,1.1441,0.5459,1.279
1.120772,0.1976,1.1666,0.6108,1.332
1.130963,0.1020,1.2260,0.6277,1.381
1.139704,-0.1928,1.4717,0.7598,1.667
1.151772,-0.6543,1.5858,1.1043,2.040
1.161077,-1.0284,1.4019,1.1848,2.104
1.172751,-0.8463,1.5266,1.2906,2.171
1.179615,-0.3612,1.6115,1.2284,2.058
1.190565,0.0828,1.9174,1.2436,2.287
1.199731,-0.2591,1.9585,1.4048,2.424
1.211224,-1.3269,1.8101,1.6387,2.779
1.220729,-1.9155,1.7976,1.5050,3.027
1.231715,-2.0810,1.8758,1.9415,3.409
1.240389,-1.7744,1.9689,1.7630,3.183
1.252148,-1.4513,2.1572,1.2132,2.869
1.259650,-1.1178,2.2253,0.8574,2.634
1.271322,-0.9777,2.2541,0.8276,2.593
1.279770,-1.1082,2.2416,0.9209,2.665
1.290907,-1.1206,2.2492,0.9377,2.682
1.300421,-1.5897,2.2654,1.0938,2.976
1.311347,-1.3864,2.1050,1.1683,2.778
1.320199,-1.2418,2.0694,0.7200,2.518
1.331266,-1.2611,2.0725,0.7425,2.537
1.340423,-2.2083,1.4362,0.2457,2.646
1.352122,-1.9761,1.2301,0.5014,2.381
1.360310,-1.1567,1.4138,0.8956,2.034
1.371060,-0.3694,1.7487,0.9302,2.015
1.379731,-0.1566,1.7536,0.7202,1.902
1.390644,-0.1608,1.7801,0.7383,1.934
1.399766,-1.0032,1.0723,-0.3414,1.508
1.410929,-1.2426,0.8073,-0.9655,1.769
1.420530,-1.1558,0.5200,-1.2600,1.787
1.431801,-0.2434,0.0880,-1.2044,1.232
1.440093,0.6614,0.0638,-0.7056,0.969
1.451576,1.0269,0.2140,-0.4984,1.161
1.460252,0.8802,0.7126,-0.3645,1.190
1.471328,0.0913,1.0836,-0.2737,1.121
1.481055,-0.4781,1.2280,0.1941,1.332
1.490665,-0.9535,1.0179,1.0467,1.744
1.500510,-0.9346,0.7492,1.5924,1.993
1.511981,-0.9114,0.7272,1.3490,1.783
1.522230,-0.4592,0.8697,0.7665,1.247
1.530634,0.6705,1.3776,0.1512,1.540
1.539635,1.3903,1.4567,0.2652,2.031
1.551343,1.4098,0.9288,0.9284,1.927
1.559884,1.2794,0.9699,1.0764,1.933
1.572852,1.7229,1.6112,1.2957,2.691
1.580079,2.4434,1.7534,1.8738,3.543
1.592211,2.7315,1.2547,1.3231,3.284
1.600824,2.8391,1.0051,0.5831,3.068
1.611531,3.3903,1.1223,0.3739,3.591
1.621506,2.0432,0.7875,-0.1546,2.195
1.631465,-0.4142,0.3403,-0.2955,0.612
1.640087,-0.9180,0.3372,-0.0453,0.979
1.650779,0.0356,0.3604,-0.7641,0.846
1.659805,1.0237,1.5511,-0.6209,1.959
1.673756,2.5419,0.7982,-0.0163,2.664
1.680076,2.9231,1.6657,0.8361,3.467
1.694716,2.8277,2.6951,2.1484,4.458
1.700148,0.6201,2.2004,2.6093,3.469
1.713424,-3.7327,0.7465,1.4650,4.079
1.722469,-7.0675,-0.4802,1.9627,7.351
1.730729,-5.6982,-0.4222,1.2868,5.857
1.740088,-3.3453,0.0250,0.4756,3.379
1.752410,-0.7584,0.9159,0.8005,1.433
1.760048,0.0866,1.8249,3.0891,3.589
1.773313,-0.5172,3.4176,8.9950,9.636
1.779750,-0.9608,3.6229,10.7698,11.403
1.791288,-0.9618,3.6291,10.8852,11.514
1.799707,0.0806,1.2248,2.1952,2.515
1.810577,0.0809,0.6374,1.1708,1.335
1.826022,-0.1873,0.1519,0.8163,0.851
1.830685,0.3864,0.8396,1.3512,1.637
1.839846,0.9089,1.8253,1.6980,2.653
1.850822,0.7145,2.5293,1.6242,3.090
1.860057,-0.1201,2.4621,1.3540,2.812
1.871820,-1.0108,1.5838,1.3089,2.290
1.879758,-0.5758,1.1295,1.3262,1.835
1.890809,-0.5202,0.4407,1.0224,1.229
1.900026,-0.7305,0.3687,1.2281,1.476
1.910897,-0.9675,1.2757,2.2859,2.791
1.925898,-1.7618,1.9160,2.6903,3.743
1.930767,-3.2733,1.1107,2.4341,4.228
1.939837,-4.3426,0.9557,2.2579,4.987
1.950559,-4.5797,0.9425,2.2461,5.187
1.959764,-4.9263,1.4726,2.9529,5.929
1.972696,-4.3219,1.7608,3.3532,5.747
1.980029,-2.2816,1.0282,1.9180,3.153
1.993329,4.5752,0.0028,-2.0988,5.034
1.999765,4.7478,0.2094,-2.1512,5.217
2.010993,5.3256,-1.1441,-1.3962,5.623
2.023082,2.2802,-0.8248,1.5027,2.853
2.031081,-0.2437,0.6661,2.2380,2.348
2.041330,-0.8348,1.4277,2.1770,2.734
2.050824,0.0339,2.1099,2.9218,3.604
2.060102,-0.0010,3.0316,1.9210,3.589
2.073230,0.4349,2.4671,2.3783,3.454
2.080238,0.9704,1.9921,2.7771,3.553
2.094761,-0.3907,0.2896,3.3437,3.379
2.100494,0.1777,1.9032,2.8425,3.425
2.113135,1.2342,2.6809,1.4270,3.278
2.119689,1.1367,2.0498,0.7750,2.469
2.134683,0.4678,2.1497,1.6383,2.743
2.142061,0.8799,2.6577,2.0306,3.458
2.153255,0.1798,0.3268,2.2104,2.242
2.160951,-0.8547,-3.1089,1.7621,3.674
2.174840,0.1016,-3.7079,2.5144,4.481
2.179797,1.0536,-3.0406,1.9655,3.771
2.193388,2.1596,-0.7522,2.5857,3.452
2.199500,2.4334,-1.0265,1.6050,3.091
2.212469,2.6922,-1.7840,0.8127,3.330
2.221363,2.8421,-1.8549,1.3086,3.637
2.234044,2.3266,-1.9478,0.4196,3.063
2.240415,2.3141,-1.7521,0.5251,2.950
2.253091,2.2446,-1.4153,1.9584,3.298
2.260190,2.0543,-1.2039,2.5443,3.485
2.274404,1.2245,-0.5070,2.6598,2.972
2.279844,1.4786,-0.1953,2.1516,2.618
2.294109,1.9395,0.2988,1.3376,2.375
2.299725,0.9156,0.9016,1.4610,1.946
2.312887,-1.4251,2.4422,0.6129,2.893
2.319965,-1.3871,2.2897,0.6815,2.762
2.333136,0.6535,1.5067,0.9672,1.906
2.341218,1.0464,1.0053,1.3656,1.993
2.352843,1.0035,0.6928,1.7096,2.100
2.359695,0.7861,0.4780,1.6646,1.902
2.375090,0.8442,0.3184,1.1912,1.494
2.380136,0.5984,0.2499,1.5888,1.716
2.394324,0.3158,0.4261,1.3883,1.486
2.399977,0.1917,0.3531,1.4871,1.540
2.419658,0.5434,0.1719,1.4733,1.580
2.420782,0.7483,0.2176,1.3480,1.557
2.434806,0.6993,0.3164,1.3756,1.575
2.442861,0.5398,0.2440,1.4344,1.552
2.452985,0.2196,0.3198,1.7081,1.752
2.459969,0.5163,0.4079,1.7821,1.900
2.475204,0.5735,0.4602,1.6578,1.814
2.479624,0.5394,0.3911,1.7181,1.843
2.497400,0.2954,0.2982,1.7209,1.771
2.499785,0.4006,0.2267,1.6566,1.719
2.513034,0.4336,0.4130,1.5754,1.685
2.520015,0.1646,0.6735,1.6649,1.804
2.534190,0.0455,1.4893,1.7307,2.284
2.540819,-0.0826,1.6135,1.5162,2.216
2.552758,0.4680,0.9883,1.0446,1.512
2.559684,0.6074,0.2923,1.2468,1.417
2.572790,1.1081,-0.1932,1.6016,1.957
2.579998,1.3715,-0.4639,1.6448,2.191
2.596171,1.3171,-0.2368,1.6642,2.136
2.599601,1.2824,0.0485,1.6828,2.116
2.615342,0.3987,0.6865,1.7700,1.940
2.620282,0.3366,0.9832,1.8151,2.092
2.633373,0.8373,1.3918,1.7915,2.418
2.641091,0.9566,1.3844,1.5920,2.316
2.653135,0.9938,0.2629,1.2526,1.620
2.660215,1.3336,0.4738,1.3190,1.935
2.673306,1.7109,1.0655,1.9097,2.777
2.680370,1.5769,1.7671,1.8459,3.003
2.697605,1.5979,1.7727,1.8599,3.026
2.700028,0.8986,2.0815,1.0165,2.485
2.714769,1.2350,2.4760,1.2298,3.028
2.719923,1.2007,2.9138,1.0064,3.308
