time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.002511,0.9254,0.5816,-1.1279,1.571
1.012101,1.1049,0.8104,-1.0594,1.732
1.020758,1.3055,0.9112,-1.2176,2.004
1.034135,1.5743,0.9237,-1.6150,2.437
1.040865,2.2755,0.7548,-2.8433,3.719
1.051126,2.3521,0.5360,-3.1858,3.996
1.062408,2.3512,0.4749,-3.2083,4.006
1.069621,1.8554,1.1003,-1.4127,2.579
1.082947,0.9454,2.2355,1.9781,3.131
1.090149,0.9873,2.6036,3.3904,4.387
1.103578,1.9132,1.7930,2.0306,3.316
1.110267,2.0521,1.0549,0.5570,2.374
1.120326,1.4943,0.7042,-0.1480,1.659
1.130319,1.4239,0.6598,-0.1417,1.576
1.141837,1.3383,-0.3485,0.8570,1.627
1.152710,1.6968,-0.9596,-2.3390,3.045
1.160884,0.8187,-0.4661,-1.4380,1.719
1.169474,-0.6178,0.0032,-1.1542,1.309
1.185674,-0.7106,0.5782,-0.8375,1.241
1.189699,-0.0832,0.9916,-0.5752,1.149
1.202843,1.3375,1.6684,-0.8983,2.319
1.209568,2.2604,2.4023,-2.1688,3.948
1.220284,2.7323,3.3563,-3.5653,5.607
1.229441,2.4149,3.0400,-4.2450,5.753
1.240854,2.0243,2.3826,-3.6470,4.804
1.251000,1.2981,1.2762,-2.0047,2.708
1.260945,0.6083,0.6545,-1.2536,1.539
1.270271,0.2909,0.4089,-0.7296,0.885
1.284309,0.5504,0.6542,-0.8415,1.200
1.290720,0.8422,0.8681,-1.7442,2.123
1.304145,0.7493,0.9014,-1.9273,2.256
1.310082,0.6528,1.0638,-1.7401,2.141
1.320960,0.4115,1.1662,-1.2804,1.780
1.336159,0.2325,1.1506,-0.8141,1.429
1.340765,0.2250,1.5631,-0.3433,1.616
1.353044,0.2792,1.6606,-0.1464,1.690
1.361867,0.2168,1.1143,0.3261,1.181
1.370357,0.0916,0.9015,1.1036,1.428
1.385973,-0.0004,0.9872,3.0268,3.184
1.389751,0.0488,0.9846,4.1839,4.298
1.403754,-0.5066,1.5535,1.7700,2.409
1.410954,-0.2959,2.1937,1.8842,2.907
1.420697,0.0815,2.4913,0.3449,2.516
1.430706,0.7517,2.1777,-0.5113,2.360
1.440927,1.2403,1.8727,-1.1338,2.516
1.457801,0.9898,1.7466,-1.3081,2.396
1.461076,0.8553,1.7308,-0.8196,2.097
1.473695,0.8468,2.0591,-0.4131,2.264
1.489780,0.9174,2.3558,-0.4272,2.564
1.491094,0.9677,2.5812,-0.6187,2.825
1.511753,-1.1472,2.2029,-1.6798,2.998
1.513071,-3.9516,1.7598,-2.2278,4.866
1.524227,-1.6776,1.2110,-2.2978,3.092
1.529662,0.6092,1.3615,-1.7236,2.279
1.541498,0.6892,2.3280,-1.0766,2.656
1.557156,0.8999,2.8352,-1.3009,3.247
1.560908,0.4232,2.2747,-1.3565,2.682
1.571680,0.0575,1.7643,-1.3169,2.202
1.587933,-0.4948,1.2222,-0.8168,1.551
1.589946,-0.3647,1.7011,-0.7997,1.915
1.611180,-0.0551,2.0859,-0.2414,2.101
1.612370,-0.3806,2.0280,0.0442,2.064
1.624568,-0.4681,1.6175,0.2148,1.698
1.630332,-0.5516,1.4247,0.1432,1.534
1.641442,-0.7148,1.3051,-0.2769,1.514
1.651797,-0.5614,1.2257,-1.1844,1.795
1.661432,-0.1191,1.4519,-1.8608,2.363
1.672164,0.1893,1.4871,-2.0847,2.568
