time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007198,-0.2238,1.1220,-1.7990,2.132
0.018247,-0.6581,0.8311,-2.0121,2.274
0.027496,-0.4113,1.2518,-1.6647,2.123
0.036356,-0.2559,1.3911,-1.4662,2.037
0.048281,-0.2383,0.9376,-1.7595,2.008
0.056486,-0.2281,0.5809,-1.2833,1.427
0.067037,-0.2726,0.6728,-1.3428,1.526
0.076443,0.0122,0.8955,-0.7465,1.166
0.087209,0.1540,1.0382,-0.9537,1.418
0.096102,0.4165,0.9933,-1.0257,1.487
0.106759,0.5043,0.9051,-0.9421,1.400
0.116881,0.4672,0.8877,-0.8728,1.330
0.127094,0.5558,0.8406,-0.8480,1.317
0.136654,0.6526,0.6791,-0.9652,1.349
0.148629,0.5887,0.6366,-0.8503,1.214
0.156119,0.5017,0.6227,-1.2596,1.492
0.167532,0.1681,0.6122,-1.1722,1.333
0.175905,0.3419,0.5351,-1.2231,1.378
0.187176,0.6156,-0.0597,-4.4411,4.484
0.197535,0.6124,0.0624,-0.9530,1.135
0.207844,0.2060,-0.0140,-0.2253,0.306
0.216404,0.2834,-0.1741,0.3731,0.500
0.228163,0.5027,-0.3228,0.9039,1.083
0.235901,0.5523,-0.3506,0.9282,1.136
0.247417,0.8134,-0.4754,0.6207,1.128
0.256138,0.7747,-0.6878,1.0001,1.440
0.267937,0.6401,-0.8278,1.8338,2.111
0.276382,0.6437,-0.8326,2.2927,2.523
0.287181,0.3741,-0.8867,2.2428,2.441
0.299544,0.0848,-0.6429,1.8530,1.963
0.307442,-0.0114,-0.3259,1.1207,1.167
0.316691,0.3090,-0.1836,0.8638,0.936
0.328200,0.6453,-0.0677,1.2686,1.425
0.336499,0.6516,0.1445,1.2840,1.447
0.347328,0.3778,0.1137,1.2378,1.299
0.357026,0.1813,0.0454,1.0726,1.089
0.367263,-0.2336,0.1584,1.0986,1.134
0.376248,-0.4642,0.4811,0.9854,1.191
0.388257,-0.5027,1.0398,0.7071,1.354
0.397071,-0.3815,1.1979,0.4106,1.323
0.408618,-0.5005,1.4314,0.1538,1.524
0.416069,-0.2819,1.5861,-0.1548,1.618
0.427425,-0.1535,1.5139,-0.2657,1.545
0.436182,-0.2707,1.4542,-0.4685,1.552
0.448553,-0.3911,1.4838,-0.4794,1.608
0.456723,-0.3054,1.4623,-0.4226,1.552
0.467608,-0.2342,1.3248,-0.5774,1.464
0.476563,-0.2008,1.2645,-0.6115,1.419
0.487384,-0.1840,1.3846,-0.5900,1.516
0.497522,-0.5264,1.2082,-0.5404,1.424
0.508427,-0.5165,1.1602,-0.1850,1.283
0.517546,-0.5101,1.0538,0.0064,1.171
0.528032,-0.5623,0.8441,0.0705,1.017
0.536647,-0.4210,0.4058,0.1240,0.598
0.547870,-0.1780,0.8353,0.1274,0.864
0.556692,-0.1445,1.2775,-0.0376,1.286
0.568147,-0.3978,1.3191,-0.1901,1.391
0.576710,-0.5471,1.6282,0.2072,1.730
0.587845,-0.3412,1.9279,0.2589,1.975
0.596332,-0.2331,1.3995,0.5169,1.510
0.607665,-0.1017,1.2039,0.2241,1.229
0.616415,-0.1020,1.5718,0.0881,1.578
0.627604,-0.2293,1.6893,0.1617,1.712
0.636432,-0.2258,1.8014,-0.1032,1.818
0.647899,0.0624,1.8748,-0.1808,1.885
0.656178,0.2778,1.4837,0.1346,1.515
0.667698,0.8841,1.5370,-0.5113,1.845
0.676612,0.7839,1.6726,-0.8197,2.021
