time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
9.989751,1.3074,-0.1781,0.4232,1.386
10.004909,1.6992,0.1064,0.6466,1.821
10.010471,1.1739,0.3719,0.6822,1.408
10.022679,0.8748,0.6065,0.3237,1.113
10.030033,0.2893,0.5394,-0.2825,0.674
10.043195,0.3917,0.2180,-0.5947,0.745
10.051460,0.6038,0.1156,-0.5287,0.811
10.068717,1.3438,0.2788,0.4232,1.436
10.071093,2.3367,0.6811,1.0269,2.642
10.082932,2.5036,0.4775,1.8514,3.150
10.090984,1.8836,0.0910,1.5233,2.424
10.103524,1.4450,-0.1886,0.8151,1.670
10.111536,1.6602,-0.0691,0.7130,1.808
10.123329,0.8052,-0.1460,0.3620,0.895
10.130064,0.3767,-0.2842,0.0298,0.473
10.142328,0.2896,-0.3307,-0.3292,0.549
10.149897,0.4554,-0.2902,-0.2349,0.589
10.166832,0.8672,-0.2040,-0.0575,0.893
10.172504,1.4087,-0.1587,0.0053,1.418
10.182681,2.0379,-0.2085,0.2445,2.063
10.190435,1.6746,-0.4558,0.2002,1.747
10.203230,-0.6851,-0.6541,-0.5560,1.098
10.210120,-0.9460,-0.4377,-1.0271,1.463
10.224265,-0.6993,0.3351,-0.8881,1.179
10.230157,-0.1125,0.6764,-0.4800,0.837
10.244542,0.7355,0.6225,0.3211,1.016
10.251709,1.3739,0.5248,0.9628,1.758
10.268005,2.7968,0.6707,1.5793,3.281
10.269857,3.3101,0.7637,1.6271,3.767
10.284213,1.3380,0.2613,0.3673,1.412
10.291150,-0.5481,-0.1984,-1.1740,1.311
10.303204,-2.8658,-0.3673,-2.4680,3.800
10.310331,-2.6439,-0.0591,-2.1227,3.391
10.323810,-1.7383,0.5684,-1.1899,2.182
10.330583,-0.7882,0.7361,-0.0450,1.079
10.345903,0.8559,0.6494,1.0260,1.486
10.351306,2.0975,0.5807,1.4024,2.589
10.365277,2.3221,0.3735,1.8968,3.022
10.369994,1.3467,0.2251,1.4362,1.982
10.382484,0.2506,-0.0360,0.6917,0.737
10.391899,0.2224,-0.0677,0.6133,0.656
10.404047,-0.0214,-0.0449,0.0330,0.060
10.410044,-0.5350,0.0241,-0.1200,0.549
10.424203,-0.7282,0.1124,-0.2244,0.770
10.430638,-0.9301,0.0839,-0.1976,0.955
10.442576,-0.8438,0.0228,0.0021,0.844
10.450211,-0.5835,-0.0452,0.1110,0.596
10.463017,-0.8127,-0.1797,0.1189,0.841
10.470396,-0.7650,-0.3149,-0.0653,0.830
10.482514,-0.9899,-0.6795,0.0759,1.203
10.491135,-0.8330,-0.6967,0.2287,1.110
10.502588,-0.4622,-0.4942,-0.4719,0.825
10.509868,-0.3020,-0.3698,-0.8318,0.959
10.524050,-0.5081,-0.4234,-1.2376,1.403
10.529919,-0.6812,-0.5094,-1.3875,1.627
10.543757,-1.0026,-0.8113,-1.6237,2.074
10.552135,-0.9881,-0.5550,-1.8994,2.212
10.562589,-0.9869,-0.0048,-1.6512,1.924
10.570493,-1.0351,0.1103,-1.7670,2.051
10.583563,-1.2680,-0.2841,-1.5409,2.016
10.591457,-1.4826,-0.5112,-1.3556,2.073
10.603553,-1.3940,-0.4283,-0.9022,1.715
10.610303,-1.0591,-0.2605,-0.6891,1.290
10.626813,-1.3413,0.0155,-0.6657,1.497
10.630335,-1.3577,0.1209,-0.4645,1.440
10.643792,-0.9602,0.1173,-0.2029,0.988
10.649947,-0.7639,-0.0273,0.2059,0.792
10.662458,-1.1642,-0.5198,0.5704,1.397
10.673184,-1.7335,-0.6953,0.3093,1.893
10.682428,-1.4690,-0.4782,-0.3848,1.592
10.691168,-0.4783,-0.1576,-0.6050,0.787
10.702571,0.5786,0.2504,-0.1919,0.659
10.709814,0.6217,0.2729,-0.1797,0.702
10.724857,0.5175,-0.0028,0.0717,0.522
10.732480,0.4428,-0.1639,0.1548,0.497
10.742964,1.2576,-0.1214,0.2735,1.293
10.749782,1.0226,-0.0587,0.3482,1.082
10.762380,0.9502,0.1448,0.3370,1.019
10.769993,1.3457,0.2623,0.2347,1.391
10.783438,1.5009,0.5280,0.2936,1.618
10.792884,1.5307,0.6845,0.5530,1.766
10.802472,1.1397,0.6200,0.2847,1.328
10.810109,0.7047,0.4993,0.1700,0.880
10.823938,0.0885,-0.0167,-0.6162,0.623
10.829962,0.2423,-0.2197,-0.4786,0.580
10.847517,0.8837,-0.1622,-0.0836,0.902
10.850743,0.8866,0.0240,0.3737,0.962
10.868225,1.6226,0.5722,0.7906,1.894
10.870049,1.0512,0.4755,0.6522,1.325
10.883255,0.9430,0.0142,0.2125,0.967
10.889686,0.8369,0.0055,0.1728,0.855
10.902532,1.2422,-0.3933,0.0387,1.304
10.909935,1.0515,-0.3637,0.0070,1.113
10.923397,0.5579,-0.2283,-0.1523,0.622
10.929888,0.2481,-0.1704,-0.2396,0.385
10.946679,0.2539,-0.0935,-0.1604,0.315
10.949893,0.5068,0.0182,0.0925,0.516
10.965791,1.5648,0.2369,0.7676,1.759
10.970810,1.8869,0.1910,1.0559,2.171
10.982280,1.8414,0.0331,1.3522,2.285
10.989732,1.3520,0.0732,1.0058,1.687
11.002564,0.2192,0.1701,0.4155,0.500
11.011176,-0.2514,0.2989,-0.0867,0.400
11.023155,-0.4605,0.6038,-0.5046,0.912
11.030101,-0.1043,0.7573,-0.2753,0.812
11.048656,-0.0866,0.7752,0.1033,0.787
11.053841,0.6030,0.7522,0.4407,1.060
11.074260,1.9408,0.7419,1.0297,2.319
11.075669,2.5832,0.6407,1.3785,2.997
11.082670,2.6149,0.2766,1.8925,3.240
11.091953,2.0948,0.1789,1.6036,2.644
11.102834,1.0325,0.1658,0.6024,1.207
11.109873,0.6655,0.2583,0.1917,0.739
11.125478,-0.5086,0.4259,-0.5460,0.859
11.130454,-0.9638,0.4749,-0.8700,1.383
11.144988,-0.8918,0.4689,-1.0363,1.445
11.151803,-0.5409,0.3353,-0.7585,0.990
11.165009,-0.5048,-0.0237,-0.0132,0.506
11.173899,-0.4670,-0.2633,0.3248,0.627
11.186885,0.2220,-0.2882,0.7383,0.823
11.189867,0.7045,-0.1672,1.1332,1.345
11.202492,0.8201,0.1198,1.1332,1.404
11.211767,0.7505,0.1422,0.6246,0.987
11.222283,0.3054,0.0864,0.0495,0.321
11.230354,0.4619,0.0083,-0.1433,0.484
11.249258,0.7155,-0.0936,-0.4951,0.875
11.250408,0.9611,-0.1484,-0.4641,1.078
11.269005,0.8456,-0.2853,-0.9036,1.270
11.271491,0.5059,-0.4850,-1.0520,1.264
11.282595,-0.5011,-0.8440,-1.4624,1.761
11.290506,-0.9791,-0.9115,-1.2439,1.827
11.303064,-1.4116,-0.8347,-1.6337,2.315
11.311380,-1.6886,-0.7246,-1.5730,2.419
11.323115,-2.1362,-0.5878,-1.5391,2.698
11.330253,-2.3047,-0.4325,-1.6783,2.884
11.349791,-2.6227,-0.2695,-1.8392,3.215
11.352554,-2.5595,-0.1630,-1.7100,3.082
11.368083,-2.0942,0.0308,-1.6102,2.642
11.370439,-1.7780,0.0794,-1.5672,2.371
11.382638,-1.4831,-0.0570,-1.5416,2.140
11.390030,-1.5892,-0.1628,-1.3300,2.079
11.402996,-1.5810,-0.1390,-0.6292,1.707
11.411921,-1.5237,0.0282,-0.3526,1.564
11.423236,-1.8017,0.2146,-0.3786,1.854
11.430081,-1.4036,0.3029,-0.1355,1.442
11.448996,-0.3660,-0.0353,0.5784,0.685
11.450033,-0.5726,-0.4576,0.2794,0.784
11.470062,-1.1242,-0.7974,-0.0403,1.379
11.471495,-1.4442,-0.7625,-0.5582,1.726
11.483186,-0.9570,-0.3430,-1.1762,1.555
11.490058,0.1374,0.0800,-1.2492,1.259
11.502854,0.8366,0.4454,-0.8747,1.290
11.513509,1.1052,0.5067,-0.7607,1.434
11.523274,1.6369,0.2532,-0.1072,1.660
11.530083,1.6322,0.0507,0.0886,1.635
11.550473,1.5860,-0.1362,0.4791,1.662
11.551890,1.4630,-0.0944,0.2537,1.488
11.575187,1.8504,0.2670,0.3762,1.907
11.576284,2.4487,0.5718,0.6833,2.606
11.582499,2.1476,0.6077,1.1354,2.504
11.589603,1.2643,0.3523,0.8890,1.585
11.602435,1.5450,0.0118,0.6631,1.681
11.610959,1.1995,-0.1169,0.5862,1.340
11.622547,0.7965,-0.0783,0.5954,0.997
11.630601,0.3934,0.1015,0.5079,0.650
11.642881,1.0146,0.5503,0.6107,1.306
11.652948,1.3627,0.6075,0.7985,1.692
11.675732,2.0100,0.3602,1.2032,2.370
11.676803,2.1121,0.1954,1.3514,2.515
11.682887,1.5413,-0.2378,0.9774,1.841
11.690073,1.4060,-0.4240,0.7669,1.657
