time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002759,0.2111,0.0469,0.1129,0.244
0.018160,0.2485,-0.0909,0.0536,0.270
0.019817,0.1838,-0.0813,0.0786,0.216
0.032471,0.2988,0.0461,0.1350,0.331
0.040440,0.2316,-0.0134,0.1871,0.298
0.052775,0.0692,0.0104,0.0364,0.079
0.060309,-0.0070,0.0117,0.0253,0.029
0.072444,-0.1487,0.0133,-0.1292,0.197
0.079800,-0.2490,-0.0041,-0.1590,0.296
0.093426,-0.4150,-0.1135,-0.2157,0.481
0.100590,-0.3776,-0.0804,-0.1702,0.422
0.112999,-0.1008,0.0834,-0.0274,0.134
0.120171,0.0481,0.1325,0.0596,0.153
0.132800,0.2607,0.1127,0.2109,0.354
0.142485,0.3886,0.0623,0.3003,0.495
0.152931,0.4703,0.0290,0.2778,0.547
0.163176,0.3112,0.0169,0.1154,0.332
0.172912,0.0242,-0.0269,0.0186,0.041
0.180289,-0.0434,-0.0258,-0.0394,0.064
0.193574,-0.1117,-0.0229,0.0079,0.114
0.200086,-0.0735,-0.0191,0.0213,0.079
0.213886,0.0441,-0.0312,0.1496,0.159
0.220499,0.1509,-0.0664,0.1582,0.228
0.232575,0.3001,-0.0273,0.1695,0.346
0.239880,0.3055,-0.0120,0.0642,0.312
0.253312,-0.0602,0.0419,-0.0360,0.082
0.261066,-0.1960,0.0935,-0.0738,0.229
0.272433,-0.2318,0.1472,-0.0637,0.282
0.280955,-0.2357,0.1422,-0.0423,0.278
0.294007,-0.1520,0.1269,0.1174,0.230
0.300319,-0.0138,0.0765,0.0758,0.109
0.313582,0.3710,0.0096,0.2783,0.464
0.319920,0.6110,0.0051,0.3303,0.695
0.332523,0.5335,0.0082,0.3256,0.625
0.340362,0.2376,0.0003,0.2985,0.381
0.353335,-0.2245,-0.0406,-0.1342,0.265
0.360394,-0.3018,-0.0782,-0.1799,0.360
0.373060,-0.1953,-0.0493,-0.1375,0.244
0.380844,-0.2610,-0.0430,-0.0838,0.278
0.393007,-0.2366,-0.0163,-0.0688,0.247
0.400072,-0.2403,-0.0421,0.0894,0.260
0.412780,-0.1351,-0.0222,-0.2100,0.251
0.419745,-0.0743,0.0078,0.0458,0.088
0.432588,0.0064,0.0078,0.0194,0.022
0.440206,-0.0709,-0.0233,0.1326,0.152
0.452486,-0.1134,-0.0706,-0.1058,0.170
0.460927,-0.0579,-0.0831,0.0368,0.108
0.472964,0.0858,-0.0181,0.1190,0.148
0.481167,0.1861,0.0988,0.1512,0.259
0.493176,0.3033,0.1891,0.2368,0.429
0.500091,0.2801,0.1435,0.1510,0.349
0.514332,0.1187,0.0072,0.2440,0.271
0.521031,-0.0072,-0.0223,0.0801,0.083
0.532561,-0.2046,0.0315,0.2693,0.340
0.540051,-0.0990,0.1020,0.2285,0.269
0.552624,0.1281,0.0549,0.1686,0.219
0.560403,0.2866,-0.0615,0.1275,0.320
0.572448,0.3187,-0.1515,0.0484,0.356
0.579933,0.2538,-0.1039,0.0661,0.282
0.594041,0.0853,0.0752,0.0108,0.114
0.599837,0.0803,0.1539,-0.0438,0.179
0.614386,-0.1101,0.1170,-0.0357,0.165
0.620122,-0.0434,0.0651,-0.0234,0.082
0.633019,-0.0833,-0.0292,-0.0243,0.092
0.640583,-0.1567,-0.0752,-0.0690,0.187
